product_id,product_name,median_value_score,mean_value_score,markets_evaluated,median_weighted_rating,median_price_usd,max_review_count
251135,LINNMON,0.5515811011904762,0.5223112512523836,24,4.499396009895274,18.24528266802801,1315.0
257255,KOMPLEMENT,0.2790502237761849,0.2884348790469885,4,4.497029081883395,12.171964521143323,253.0
257298,KOMPLEMENT,0.5751173708920188,0.5709688636529552,15,4.695902215060838,19.99692355022304,1057.0
257302,KOMPLEMENT,0.5710594315245479,0.543589053989284,3,4.695902215060838,7.202881152460985,1057.0
257463,KOMPLEMENT,-0.40796239374620524,-0.34129164936309303,14,3.818400750687051,39.705499880092276,623.0
258882,KLIPSK,-0.5904761904761905,-0.46701751404046,29,4.301064311192079,11.482758620689655,2608.0
259914,KRUSNING,0.7160493827160495,0.6648771025122415,9,4.772784566624561,11.482758620689655,229.0
260451,LILLEPLUTT,0.42592592592592593,0.42039892941619894,31,4.794991833083453,6.740306582506762,1221.0
262879,EKERÖ,-0.21853146853146854,-0.020987036519678075,3,4.587229809756862,235.43290931473123,186.0
263850,BILLY,0.1863768742657156,0.12628425859729006,22,4.599007195575609,63.43895345891556,2606.0
275848,KALLAX,0.36940581461107397,0.2926415623557026,32,4.698758421981511,57.27832512315271,3530.0
277357,VÄRDERA,0.2258581392794376,0.20654691933539251,20,4.682991819267954,4.197169818070143,241.0
278333,LEIRSUND,-0.5892592331050067,-0.5689462343682291,4,4.123086213683754,91.95402298850574,259.0
278465,RÖRT,0.14410828025477704,0.14940199614795988,11,4.496753553187097,2.2988505747126435,230.0
278578,HYLLIS,-0.2791263464874616,-0.32051922280999756,22,4.101439640069879,22.97701149425287,4424.0
280208,KUGGIS,-0.02803738317757004,-0.04239685871326943,21,4.594606379276191,11.482758620689655,465.0
283527,IKEA 365+,-0.6276150627615062,-0.6278297663925844,3,4.489543911563637,19.612987864873727,59.0
284386,BEPRÖVAD,0.6819597122302159,0.6061007256310194,8,4.801171372720988,2.2595483142107935,329.0
285908,FEJKA,-0.04601990049751248,-0.059253632562547336,19,4.591402248153135,9.183908045977011,285.0
